latitude,longitude,month,Wind Chill Index
11.75,0.75,1,106.33826
11.75,1,1,106.78836
11.75,1.25,1,106.94972
11.75,1.5,1,107.49471
11.75,1.75,1,108.1569
11.75,2,1,108.088104
11.75,2.25,1,109.60311
11.75,2.5,1,111.13571
11.75,2.75,1,113.064125
11.75,3,1,114.54589
11.75,-5,2,35.618343
11.75,-4.75,2,35.67598
11.75,-4.5,2,37.05921
11.75,-4.25,2,40.40248
11.75,-4,2,40.29249
11.75,-3.75,2,37.546116
11.75,-3.5,2,36.8983
11.75,-3.25,2,38.61853
11.75,-3,2,42.31829
11.75,-2.75,2,40.550426
11.75,-2.5,2,36.628254
11.75,-2.25,2,36.128185
11.75,-2,2,37.81937
11.75,-1.75,2,40.132153
11.75,-1.5,2,41.3133
11.75,-1.25,2,41.906654
11.75,-1,2,41.368435
11.75,-0.75,2,40.95829
11.75,-0.5,2,39.948364
11.75,-0.25,2,40.110386
11.75,0,2,41.38324
11.75,0.25,2,40.792877
11.75,0.5,2,40.11681
11.75,0.75,2,39.310863
11.75,1,2,39.375626
11.75,1.25,2,39.207718
11.75,1.5,2,39.430386
11.75,1.75,2,40.158943
11.75,2,2,39.99013
11.75,2.25,2,41.120937
11.75,2.5,2,42.612335
11.75,2.75,2,44.559402
11.75,3,2,46.107426
11.75,-5,3,-15.653536
11.75,-4.75,3,-16.213148
11.75,-4.5,3,-16.998646
11.75,-4.25,3,-16.571384
11.75,-4,3,-17.034866
11.75,-3.75,3,-18.711962
11.75,-3.5,3,-20.132277
11.75,-3.25,3,-20.83795
11.75,-3,3,-19.125526
11.75,-2.75,3,-19.533165
11.75,-2.5,3,-21.60291
11.75,-2.25,3,-23.069695
11.75,-2,3,-23.274223
11.75,-1.75,3,-22.599318
11.75,-1.5,3,-21.847166
11.75,-1.25,3,-20.920786
11.75,-1,3,-21.294775
11.75,-0.75,3,-20.736067
11.75,-0.5,3,-20.9457
11.75,-0.25,3,-21.392624
11.75,0,3,-21.338383
11.75,0.25,3,-22.57917
11.75,0.5,3,-23.024775
11.75,0.75,3,-23.580435
11.75,1,3,-23.782246
11.75,1.25,3,-24.345179
11.75,1.5,3,-24.872717
11.75,1.75,3,-25.371326
11.75,2,3,-26.947092
11.75,2.25,3,-27.675436
11.75,2.5,3,-27.976007
11.75,2.75,3,-27.328985
11.75,3,3,-26.61803
11.75,-5,4,-17.607918
11.75,-4.75,4,-17.01311
11.75,-4.5,4,-17.905361
11.75,-4.25,4,-19.077961
11.75,-4,4,-19.693356
11.75,-3.75,4,-19.9459
11.75,-3.5,4,-21.325863
11.75,-3.25,4,-23.747057
11.75,-3,4,-23.48488
11.75,-2.75,4,-22.667137
11.75,-2.5,4,-21.980139
11.75,-2.25,4,-22.514622
11.75,-2,4,-23.583443
11.75,-1.75,4,-24.505848
11.75,-1.5,4,-25.290668
11.75,-1.25,4,-25.662268
11.75,-1,4,-26.808043
11.75,-0.75,4,-25.630386
11.75,-0.5,4,-24.795778
11.75,-0.25,4,-24.84806
11.75,0,4,-25.095833
11.75,0.25,4,-26.73179
