latitude,longitude,month,HEAT INDEX
11.75,2.75,2,84.27489
11.75,3,2,84.1618
11.75,-5,3,89.7121
11.75,-4.75,3,89.74249
11.75,-4.5,3,89.72765
11.75,-4.25,3,89.57813
11.75,-4,3,89.655495
11.75,-3.75,3,89.78806
11.75,-3.5,3,89.83792
11.75,-3.25,3,89.762
11.75,-3,3,89.71637
11.75,-2.75,3,89.81133
11.75,-2.5,3,89.8617
11.75,-2.25,3,89.96132
11.75,-2,3,89.95405
11.75,-1.75,3,89.87061
11.75,-1.5,3,89.83513
11.75,-1.25,3,89.76166
11.75,-1,3,89.803406
11.75,-0.75,3,89.84817
11.75,-0.5,3,89.75471
11.75,-0.25,3,89.70435
11.75,0,3,89.721016
11.75,0.25,3,89.7766
11.75,0.5,3,89.828186
11.75,0.75,3,89.825035
11.75,1,3,89.83123
11.75,1.25,3,89.83931
11.75,1.5,3,89.82883
11.75,1.75,3,89.84229
11.75,2,3,89.84232
11.75,2.25,3,89.85883
11.75,2.5,3,89.85352
11.75,2.75,3,89.75302
11.75,3,3,89.69482
11.75,-5,4,96.30333
11.75,-4.75,4,96.305466
11.75,-4.5,4,96.35042
11.75,-4.25,4,96.131195
11.75,-4,4,96.26572
11.75,-3.75,4,96.3985
11.75,-3.5,4,96.312996
11.75,-3.25,4,96.10051
11.75,-3,4,96.21474
11.75,-2.75,4,96.31463
11.75,-2.5,4,96.20492
11.75,-2.25,4,96.37024
11.75,-2,4,96.46878
11.75,-1.75,4,96.403854
11.75,-1.5,4,96.35709
11.75,-1.25,4,96.27283
11.75,-1,4,96.28077
11.75,-0.75,4,96.380585
11.75,-0.5,4,96.12113
11.75,-0.25,4,95.98627
11.75,0,4,96.09091
11.75,0.25,4,96.129585
11.75,0.5,4,96.28817
11.75,0.75,4,96.21354
11.75,1,4,96.18324
11.75,1.25,4,96.13567
11.75,1.5,4,96.057236
11.75,1.75,4,96.074066
11.75,2,4,95.90786
11.75,2.25,4,96.01794
11.75,2.5,4,96.1222
11.75,2.75,4,95.958496
11.75,3,4,95.90269
11.75,-5,5,97.94374
11.75,-4.75,5,97.97887
11.75,-4.5,5,97.93267
11.75,-4.25,5,97.51074
11.75,-4,5,97.61069
11.75,-3.75,5,97.7137
11.75,-3.5,5,97.57437
11.75,-3.25,5,97.38452
11.75,-3,5,97.395905
11.75,-2.75,5,97.37644
11.75,-2.5,5,97.25853
11.75,-2.25,5,97.445786
11.75,-2,5,97.56592
11.75,-1.75,5,97.49203
11.75,-1.5,5,97.428535
11.75,-1.25,5,97.27165
11.75,-1,5,97.17085
11.75,-0.75,5,97.158
11.75,-0.5,5,96.92793
11.75,-0.25,5,96.849625
11.75,0,5,96.95601
11.75,0.25,5,97.08042
11.75,0.5,5,97.23213
11.75,0.75,5,97.09756
11.75,1,5,96.96175
11.75,1.25,5,96.90043
11.75,1.5,5,97.005196
11.75,1.75,5,97.193924
11.75,2,5,97.17389
11.75,2.25,5,97.44208
11.75,2.5,5,97.66968
11.75,2.75,5,97.48306
11.75,3,5,97.50156
11.75,-5,6,93.85145
11.75,-4.75,6,93.82138
11.75,-4.5,6,93.78545
11.75,-4.25,6,93.48591
11.75,-4,6,93.52887
11.75,-3.75,6,93.55194
11.75,-3.5,6,93.40255
11.75,-3.25,6,93.324295
11.75,-3,6,93.216545
11.75,-2.75,6,93.14241
11.75,-2.5,6,93.00559
11.75,-2.25,6,93.152916
11.75,-2,6,93.29396
11.75,-1.75,6,93.169876
11.75,-1.5,6,93.12473
11.75,-1.25,6,92.88325
11.75,-1,6,92.77487
11.75,-0.75,6,92.70846
11.75,-0.5,6,92.48622
11.75,-0.25,6,92.476715
11.75,0,6,92.56247
11.75,0.25,6,92.80544
11.75,0.5,6,92.946976
11.75,0.75,6,92.816605
11.75,1,6,92.68269
11.75,1.25,6,92.60571
11.75,1.5,6,92.727264
11.75,1.75,6,92.903305
11.75,2,6,92.983284
11.75,2.25,6,93.26675
11.75,2.5,6,93.52997
11.75,2.75,6,93.39877
11.75,3,6,93.48284
11.75,-5,7,87.82898
11.75,-4.75,7,87.782974
11.75,-4.5,7,87.85693
11.75,-4.25,7,87.80932
11.75,-4,7,87.80307
11.75,-3.75,7,87.772484
11.75,-3.5,7,87.739685
11.75,-3.25,7,87.77866
11.75,-3,7,87.67973
11.75,-2.75,7,87.615776
11.75,-2.5,7,87.44341
11.75,-2.25,7,87.502266
11.75,-2,7,87.59415
11.75,-1.75,7,87.49766
11.75,-1.5,7,87.42826
11.75,-1.25,7,87.22985
11.75,-1,7,87.21854
11.75,-0.75,7,87.09162
11.75,-0.5,7,86.926056
11.75,-0.25,7,86.94426
11.75,0,7,86.98725
11.75,0.25,7,87.18172
11.75,0.5,7,87.24137
11.75,0.75,7,87.13864
11.75,1,7,86.997154
11.75,1.25,7,86.92434
11.75,1.5,7,86.98509
11.75,1.75,7,87.14941
11.75,2,7,87.31188
11.75,2.25,7,87.52369
11.75,2.5,7,87.813416
11.75,2.75,7,87.83821
11.75,3,7,87.87177
11.75,-5,8,85.24405
11.75,-4.75,8,85.1687
11.75,-4.5,8,85.24546
11.75,-4.25,8,85.216415
11.75,-4,8,85.17234
11.75,-3.75,8,85.1275
11.75,-3.5,8,85.100716
11.75,-3.25,8,85.126976
11.75,-3,8,84.995804
11.75,-2.75,8,84.92161
11.75,-2.5,8,84.78709
11.75,-2.25,8,84.84158
11.75,-2,8,84.93191
11.75,-1.75,8,84.88425
11.75,-1.5,8,84.84079
11.75,-1.25,8,84.716484
11.75,-1,8,84.72847
11.75,-0.75,8,84.57749
11.75,-0.5,8,84.44227
11.75,-0.25,8,84.449486
11.75,0,8,84.4708
11.75,0.25,8,84.58118
11.75,0.5,8,84.54951
11.75,0.75,8,84.40352
11.75,1,8,84.177895
11.75,1.25,8,84.06289
11.75,1.5,8,84.078964
11.75,1.75,8,84.24438
11.75,2,8,84.40963
11.75,2.25,8,84.58843
11.75,2.5,8,84.9582
11.75,2.75,8,85.057205
11.75,3,8,85.1032
11.75,-5,9,89.04377
11.75,-4.75,9,89.00157
11.75,-4.5,9,89.108604
11.75,-4.25,9,88.99565
11.75,-4,9,88.99871
11.75,-3.75,9,89.07542
11.75,-3.5,9,89.02467
11.75,-3.25,9,88.9951
11.75,-3,9,88.76821
11.75,-2.75,9,88.62586
11.75,-2.5,9,88.53662
11.75,-2.25,9,88.677055
11.75,-2,9,88.83012
11.75,-1.75,9,88.718285
11.75,-1.5,9,88.62521
11.75,-1.25,9,88.393074
11.75,-1,9,88.31383
11.75,-0.75,9,88.144264
11.75,-0.5,9,87.92292
11.75,-0.25,9,88.00226
11.75,0,9,88.099945
11.75,0.25,9,88.309296
11.75,0.5,9,88.3403
11.75,0.75,9,88.09402
11.75,1,9,87.85693
11.75,1.25,9,87.74925
11.75,1.5,9,87.87002
11.75,1.75,9,88.11527
11.75,2,9,88.32358
11.75,2.25,9,88.65395
11.75,2.5,9,88.99443
11.75,2.75,9,88.96331
11.75,3,9,89.0063
11.75,-5,10,94.35874
11.75,-4.75,10,94.4886
11.75,-4.5,10,94.50062
11.75,-4.25,10,93.87788
11.75,-4,10,94.10829
11.75,-3.75,10,94.241005
11.75,-3.5,10,93.871925
11.75,-3.25,10,93.68033
11.75,-3,10,93.3633
11.75,-2.75,10,93.31401
11.75,-2.5,10,93.51599
11.75,-2.25,10,93.717926
11.75,-2,10,93.93775
11.75,-1.75,10,93.736336
11.75,-1.5,10,93.68882
11.75,-1.25,10,93.34602
11.75,-1,10,92.95112
11.75,-0.75,10,93.00348
11.75,-0.5,10,92.60341
11.75,-0.25,10,92.561745
11.75,0,10,92.69797
11.75,0.25,10,92.944786
11.75,0.5,10,93.17201
11.75,0.75,10,92.7171
11.75,1,10,92.48459
11.75,1.25,10,92.39633
11.75,1.5,10,92.6878
11.75,1.75,10,92.81128
11.75,2,10,92.803566
11.75,2.25,10,93.50311
11.75,2.5,10,93.44661
11.75,2.75,10,93.06691
11.75,3,10,93.30708
11.75,-5,11,88.31224
11.75,-4.75,11,88.410355
11.75,-4.5,11,88.127365
11.75,-4.25,11,87.71153
11.75,-4,11,88.095
