lon,lat,precip,month
-3.75,9.25,0.0,1
-3.75,9.0,0.0,1
-3.75,8.75,0.0,1
-3.75,8.5,0.0,1
-3.75,8.25,0.0,1
-3.75,8.0,0.0,1
-3.75,7.75,0.0,1
-3.75,7.5,0.0,1
-3.75,7.25,0.0,1
-3.75,7.0,0.0,1
-3.75,6.75,0.0,1
-3.75,6.5,0.0,1
-3.75,6.25,0.0,1
-3.75,6.0,0.0,1
-3.75,5.75,0.0,1
-3.75,5.5,0.0,1
-3.75,5.25,0.0,1
-3.75,5.0,0.0,1
-3.75,4.75,0.0,1
-3.75,4.5,0.0,1
-3.75,4.25,0.0,1
-3.75,4.0,0.0,1
-3.75,3.75,0.0,1
-3.75,3.5,0.0,1
-3.75,3.25,0.0,1
-3.75,3.0,0.0,1
-3.5,12.0,0.0,1
-3.5,11.75,0.0,1
-3.5,11.5,0.0,1
-3.5,11.25,0.0,1
-3.5,11.0,0.0,1
-3.5,10.75,0.0,1
-3.5,10.5,0.0,1
-3.5,10.25,0.0,1
-3.5,10.0,0.0,1
-3.5,9.75,0.0,1
-3.5,9.5,0.0,1
-3.5,9.25,0.0,1
-3.5,9.0,0.0,1
-3.5,8.75,0.0,1
-3.5,8.5,0.0,1
-3.5,8.25,0.0,1
-3.5,8.0,0.0,1
-3.5,7.75,0.0,1
-3.5,7.5,0.0,1
-3.5,7.25,0.0,1
-3.5,7.0,0.0,1
-3.5,6.75,0.0,1
-3.5,6.5,0.0,1
-3.5,6.25,0.0,1
-3.5,6.0,0.0,1
-3.5,5.75,0.0,1
-3.5,5.5,0.0,1
-3.5,5.25,0.0,1
-3.5,5.0,0.0,1
-3.5,4.75,0.0,1
-3.5,4.5,0.0,1
-3.5,4.25,0.0,1
-3.5,4.0,0.0,1
-3.5,3.75,0.0,1
-3.5,3.5,0.0,1
-3.5,3.25,0.0,1
-3.5,3.0,0.0,1
-3.25,12.0,0.0,1
-3.25,11.75,0.0,1
-3.25,11.5,0.0,1
-3.25,11.25,0.0,1
-3.25,11.0,0.0,1
-3.25,10.75,0.0,1
-3.25,10.5,0.0,1
-3.25,10.25,0.0,1
-3.25,10.0,0.0,1
-3.25,9.75,0.0,1
-3.25,9.5,0.0,1
-3.25,9.25,0.0,1
-3.25,9.0,0.0,1
-3.25,8.75,0.0,1
-3.25,8.5,0.0,1
-3.25,8.25,0.0,1
-3.25,8.0,0.0,1
-3.25,7.75,0.0,1
-3.25,7.5,0.0,1
-3.25,7.25,0.0,1
-3.25,7.0,0.0,1
-3.25,6.75,0.0,1
-3.25,6.5,0.0,1
-3.25,6.25,0.0,1
